allkcats1	allkcats2	allkcats3	allkcats4	allkcats5
EC1.1.1.1	(2e)-but-2-en-1-ol	yokenella sp.	101	brenda
EC1.1.1.1	(2e)-but-2-enal	yokenella sp.	405	brenda
EC1.1.1.1	(r)-1-indanol	sulfolobus acidocaldarius	7.1	brenda
EC1.1.1.1	(r)-2-butanol	equus caballus	2	brenda
EC1.1.1.1	(r)-2-butanol	saccharolobus solfataricus	1	brenda
EC1.1.1.1	(r)-2-octanol	equus caballus	0.053	brenda
EC1.1.1.1	(r)-2-pentanol	equus caballus	1.01	brenda
EC1.1.1.1	(r)-2-pentanol	saccharolobus solfataricus	1.1	brenda
EC1.1.1.1	(r)-alpha-tetralol	sulfolobus acidocaldarius	13.5	brenda
EC1.1.1.1	(s)-(+)-1-indanol	thermus thermophilus	61.4	brenda
EC1.1.1.1	(s)-(+)-alpha-tetraol	thermus thermophilus	57	brenda
EC1.1.1.1	(s)-(-)-1-phenylethanol	thermus thermophilus	1.1	brenda
EC1.1.1.1	(s)-1-indanol	sulfolobus acidocaldarius	13.7	brenda
EC1.1.1.1	(s)-1-indanol	thermus thermophilus	61.4	brenda
EC1.1.1.1	(s)-1-phenylethanol	thermus thermophilus	1.1	brenda
EC1.1.1.1	(s)-2-butanol	equus caballus	1	brenda
EC1.1.1.1	(s)-2-butanol	homo sapiens	2.17	brenda
EC1.1.1.1	(s)-2-butanol	saccharolobus solfataricus	1.2	brenda
EC1.1.1.1	(s)-2-octanol	equus caballus	1.52	brenda
EC1.1.1.1	(s)-2-pentanol	equus caballus	0.87	brenda
EC1.1.1.1	(s)-2-pentanol	saccharolobus solfataricus	2.6	brenda
EC1.1.1.1	(s)-alpha-tetralol	sulfolobus acidocaldarius	2.1	brenda
EC1.1.1.1	(s)-alpha-tetralol	thermus thermophilus	57	brenda
EC1.1.1.1	1,4-butanediol	pyrobaculum calidifontis	1.98	brenda
EC1.1.1.1	1-butanol	aeropyrum pernix	0.41	brenda
EC1.1.1.1	1-butanol	mesocricetus auratus	7.5	brenda
EC1.1.1.1	1-butanol	rattus norvegicus	48.8	brenda
EC1.1.1.1	1-butanol	saccharolobus solfataricus	3.1	brenda
EC1.1.1.1	1-heptanol	saccharolobus solfataricus	1.6	brenda
EC1.1.1.1	1-hexanol	aeropyrum pernix	0.37	brenda
EC1.1.1.1	1-hexanol	mesocricetus auratus	3.03	brenda
EC1.1.1.1	1-hexanol	saccharolobus solfataricus	2	brenda
EC1.1.1.1	1-indanol	sulfolobus acidocaldarius	6.2	brenda
EC1.1.1.1	1-indanol	thermus thermophilus	45.7	brenda
EC1.1.1.1	1-indanone	thermus thermophilus	8.3	brenda
EC1.1.1.1	1-octanol	geobacillus thermodenitrificans	260.7	brenda
EC1.1.1.1	1-octanol	homo sapiens	3.71666667	sabiork
EC1.1.1.1	1-octanol	rattus norvegicus	60.8	brenda
EC1.1.1.1	1-pentanol	aeropyrum pernix	0.45	brenda
EC1.1.1.1	1-pentanol	homo sapiens	3.95	sabiork
EC1.1.1.1	1-pentanol	rattus norvegicus	48.8	brenda
EC1.1.1.1	1-pentanol	saccharolobus solfataricus	2.5	brenda
EC1.1.1.1	1-phenyl-1,2-propandione	thermus thermophilus	17.1	brenda
EC1.1.1.1	1-phenyl-1,2-propanedione	sulfolobus acidocaldarius	5.3	brenda
EC1.1.1.1	1-phenyl-1,2-propanedione	thermus thermophilus	17.1	brenda
EC1.1.1.1	1-phenylethanol	thermococcus kodakarensis	35.7	brenda
