Stains	Major clade	Biomass_Phenotype
Alloascoidea_hylecoeti	Alloascoideaceae	Normal
Ambrosiozyma_kashinagacola	Pichiaceae	Normal
Ambrosiozyma_monospora	Pichiaceae	Normal
Arthrobotrys_oligospora	Ascomycota	Normal
Arxula_adeninivorans	Dipodascaceae/Trichomonascaceae	Heat,Lipid
Ascoidea_asiatica	CUG-Ser2	Normal
Ascoidea_rubescens	CUG-Ser2	Normal
Ashbya_aceri	Saccharomycetaceae	Normal
Aspergillus_nidulans	Ascomycota	Normal
Babjeviella_inositovora	CUG-Ser1	Normal
Botrytis_cinerea	Ascomycota	Normal
Brettanomyces_anomalus	Pichiaceae	Normal
Candida_albicans	CUG-Ser1	Pathogen
Candida_apicola	Dipodascaceae/Trichomonascaceae	Normal
Candida_arabinofermentans	Pichiaceae	Normal
Candida_auris	CUG-Ser1	Pathogen,Heat
Candida_boidinii_JCM9604	Pichiaceae	Normal
Candida_carpophila	CUG-Ser1	Normal
Candida_dubliniensis	CUG-Ser1	Pathogen
Candida_glabrata	Saccharomycetaceae	Pathogen
Candida_homilentoma	CUG-Ser1	Normal
Candida_infanticola	Dipodascaceae/Trichomonascaceae	Normal
Candida_intermedia	CUG-Ser1	Pathogen
Candida_orthopsilosis	CUG-Ser1	Heat,Lipid,Pathogen
Candida_parapsilosis	CUG-Ser1	Pathogen,Lipid
Candida_sojae	CUG-Ser1	Normal
Candida_sorboxylosa	Pichiaceae	Normal
Candida_succiphila	Pichiaceae	Normal
Candida_tanzawaensis	CUG-Ser1	Normal
Candida_tenuis	CUG-Ser1	Normal
Candida_tropicalis	CUG-Ser1	Pathogen
Candida_versatilis	Dipodascaceae/Trichomonascaceae	Normal
Clavispora_lusitaniae	CUG-Ser1	Lipid
Coccidioides_immitis	Ascomycota	Normal
Cyberlindnera_fabianii_JCM3601	Phaffomycetaceae	Normal
Cyberlindnera_jadinii	Phaffomycetaceae	Normal
Debaryomyces_hansenii	CUG-Ser1	Lipid
Dekkera_bruxellensis	Pichiaceae	Normal
Eremothecium_coryli	Saccharomycetaceae	Heat
Eremothecium_cymbalariae	Saccharomycetaceae	Normal
Eremothecium_gossypii	Saccharomycetaceae	Normal
Eremothecium_sinecaudum	Saccharomycetaceae	Heat
Fusarium_graminearum	Ascomycota	Normal
Geotrichum_candidum	Dipodascaceae/Trichomonascaceae	Normal
